,accountId,id,name,profileIconId,puuid,revisionDate,status.message,status.status_code,summonerLevel,leaguePoints,rank,wins,losses
0,IIWG7FRiqE8CuZaCslKkNxkglwpgnePPxDslb2tv66FKrgo,8Cx100isJ6RMMeOmUX_-Wg0CESabVTYk-e8P8Ijj3zuIiB4,Youtube Thal,4090.0,zEAzVpVlvX2QkvhGdq-Ttedh_7ANT8MV7HbUDEBS9qV4gg92XlaMwz7ylNLPaZJPPu3P5LunLlk-4Q,1585210430000.0,,,344.0,1534,I,119,107
1,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY,TaB2q-apc8gykUYksGmcqfe5bvrtKmvZEyKjwdfTrno3V5I,T1 Gumayusi,7.0,cdpL_1GGxpXZPaDITiNyPbT4r8vZ-PKqH_1FX5CYoLEkGSSRCrE7kRznYtRSRYWf5MPvlch6L3mpfw,1584950623000.0,,,195.0,1505,I,301,246
2,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao,AmzUl0S9tzG8zmeDS3yftE7Ex_2tFG09g3Vj7bPAEDCDMAM,곽김보태성민광희,4227.0,5GlNYjIevp0kT5JMqLDJEju01LCKaI-7xhwMa1NvxHvJy444caRwMKTxoO428VEnBE8mda_i6A3hmg,1584965478000.0,,,274.0,1488,I,258,191
3,01fKKDfDTEV5v5hOuOEg6gMQw-LaZE90W0stwnGS6uRYLrE,55qN-1wEpKN43nR7p23_8kl-CYFLBo3rXaL259f_I8ZoJvc,Gen G Ruler,4490.0,P2LjFTWWBaxGMVQRKC7IIETC9L8uvyhUbBLn1q-FAbIiYFna2elpCk_LHotKy7_rIZoNifIlO4MkAw,1584694755000.0,,,371.0,1403,I,204,151
4,CyEV9EiCTEu2Aq2maL7X0GaVJX1Hn2OocGbdWN90K1hXo483nDABEbu1,U8GB61w3VGRGPQz3H5Cq1VyjJEHXZW3Kxuq8vHNWMpYk6ro,Gen G Karis,6.0,vx2ClHg2aAsp67Ebz2lNG-OzuyfWPxA93e0zXlP057PcGW6lUHBBBCRrzGf0zjbX8txbcHsHI_59Fw,1585027769000.0,,,245.0,1399,I,117,105
5,i4Y7790x00DAFtinQUjw7vB92y6z-1Ryd0zALYuxcOI,d63veTXZRp0jt6btpZOB1lthuxgELwnGnPvSVTHRoFxx2Q,znhy,544.0,tmp-IlYKR-_UTr0U0YXe9sHtPOBwRJfGwGdjYbxFTWlp5FmhdUew9VV3n1lDBT4LI_MFN94zKQs4pg,1585210191000.0,,,175.0,1360,I,157,103
6,JTPl-LVM05a-cd5mTYUd0dcmwBahqORrbGTr1aHtJu2ALKE,th78mli66hihVN8_bawLajrGalnASfmmYYtEZ-x62tm6vbc,Gen G Clid,4025.0,WbpYyg3TJTfqt1xPg3b9a61-EB8Vt2Usmy2qRG37aPJsDXBgPRVSiXuUoQV23NNvnG_mx2hYb5N_4g,1584837058000.0,,,370.0,1358,I,210,150
7,lACqORcGMFvPpSbUU_InuBfKTPFvQPKCO2YV7GT7vsmh7mk,DdYxfRcDAzbZKkkmdLH6izLhRwdjEFujj3ix7NgRHMP2kKg,DWG ShowMaker,3958.0,CrGACtY6-MXqGMK3Xm65iv_cCp5L9W-8LBABhgjhqTp2va_KY9NRhikN6CYimF4HIO8_ajT-vyi1dw,1584077447000.0,,,266.0,1342,I,209,155
8,e08jybn3DcAPjF0dMTWXjZCYd6TZSW4OrpQ5DNMaHp4vDKo,6MdVwNCqz5Eo2jfR1jREB5BC82WCAUERWSMmehmTT9REJVI,골목대장 태훈이,4249.0,1o7MBP6Z6hR13VjMHcHhqRDL8lmS7e0EbXMt0Ck0aiOkr6aibnY3uNpoSuOio-CxR8oEUmw0K5EaTw,1584935581000.0,,,88.0,1271,I,186,121
9,m8gzBKBdZ_R8SwGRnoPf3b1ZCmdBH4QfPjE5U9xJB5JOCAI,KU3TzDxVNDJHwcsqDNvZw1gXqObBY5SB26NHIEiGHdC4h80,용호야,4295.0,oVlwg-a_uUKLwTD1avLvjDtBm0-A-81roK8xASM5ndV5BMW0ZDUV8pksBZZt0nBIh1R-ysH3t-2KtA,1585131644000.0,,,103.0,1266,I,228,171
10,LhCH2yaixm5FZ6dHybuexqHNckeV0RQh4-W3pB8vJP2_,YTMZt7CQ7cHXiADp1ZtI1GjNHdAE_HQbbSxxq_gllWinqQ,쪼렙이다말로하자,3019.0,qDSYzPIVgg_qW_BHtMol4vM9vKAq2Wa2tJTSZqn0v-t8G1majnIfey51slDDNyd6olUq55n4wzYYaA,1583187388000.0,,,250.0,1265,I,222,175
11,1IeTiK_eUxVQ403DtauUh3bunZ-mWCTWSo4qEN6AF3eMn6jIiJIW7ojU,z9y4ipNtXRAJWy8kxEbJTMLKNQYgjZnPLF5gLFk4yDqyHbA,아름답고 슬픈 꽃,7.0,q2k1AtTFwgSoKb0szSZl_j6spNfDJK4KYeF4pYrPY7hxic5eZM6-4FYlp3Ej7Qp2Dyu5PsLahfWghA,1584946706000.0,,,92.0,1246,I,83,74
12,RpfEsn4uy31t7jaK4jiAlINRVeFqbcK3fXanABDw9KIQloc,P9oKEXsIW-putU_nwPf8S8WBHcaWtHKOxaxUKT33kKU_aBU,꿈의 남자,7.0,mw5yavwd3jRTVjVSwxhJ3Xlkgqy34FD7AwPShnr2ZZqjpRbKv5SDRA2MbtserfOcE6victplAuDJnQ,1584603933000.0,,,177.0,1242,I,84,61
13,zMAyZn3-UEy_5Ee3fX2D3697oTzMpxOpzx06f--2V-JCQjE,jrCogtrl0Of0m2ptNCnySAsrzgWQeKHT19gzvo9ou9keG_8,Destiny,4491.0,QxNpA9yOJwE9D-x6FxmGSio2EFNOGLSvKExzzyBGT1sjjiTRMoqMnvFVCiM-I-_6AmSQJuSElVFMgg,1585221518000.0,,,197.0,1229,I,121,121
14,S3-N7M4SNbVkr4zY9_t4illrIVFdDEWbIGVDwIsWIIKMn8yjE1Yzm_CX,-6OhOREEpno3a9Gxsq0IJX6kRzCGVer9-qefkA2AtYYlKDs,TlGER,4027.0,xb6yolJGe0RphbYU3cnTxLVV2nUSvN8kQq5HiMCQ-4_bUpL7ckkx8tFpjdGHd5s62AuF1nJhwrhsmg,1584782533000.0,,,263.0,1158,I,133,124
15,4alTxbRq8V64QzAM-QpuksDdwB70WS4V_IDQWBYfiNqgIGA,pDy6jb36r46Abuyg8SeUT9FKPFaG-LUCIn0ajRF3kjYPVdw,Gen G Bonnie,11.0,mmpVGIrZ95RmAxvL_cH7ES29I5zFwKxxfD7m400pp2b0dxHcoU-xUIyLp1mKa-pmTM7tz9wjC1PXxw,1585137450000.0,,,492.0,1155,I,270,277
16,kBR52sFXVivea5ARzzTtj2W52muEgZQX0JgJwBp4rpdKMF4,a8GWapzrxqP2IMVzn7Ncw6-Sd7exkfxqTC5B2065oJTWc-M,KT Malrang,1391.0,4q9RA8EdUNS0Ex9SbQhgvsfP5jbznWRp8B1x_eYZ4O62QmaS3pN0c79BUHoVxv_H_3SuHIhXO-9rFw,1585122280000.0,,,255.0,1155,I,198,150
17,KJLe--RT1g3g0jUBmdWzViT55k6BBmBHpdtQWDYeXGXen5JUk2i_7qkV,YxKtz8l_tzp-y5mAEkIHIyyLdsHoB1TVAWqo8lYM_N8cU8U,댕청잇,4206.0,xKYL6doHxe1RGnfE8W9SuelElblxCD6VL0udRVgCDVcm69ygFCfPf0mhxfNo7ChMfESyzZnCmYHhpQ,1585127576000.0,,,107.0,1128,I,228,180
18,k9fNBRC8yXeqIJg2X3Tq3Ko2YuxFUd4fRfFSqC0Glyyk3Ds,VRJ3UE5P3xbH7fAWhVv8teJ3vEDmYmTv9TCq59iZRrxdld0,GIDE0N,25.0,3vbdHQCdX8vUMJKBOcDqsu1ISgAHBGEAJ2yIGCdHc52yvycbkN14TXfrdbXvqgdStueV_u8doASAFg,1584664248000.0,,,338.0,1120,I,239,192
19,ZHCA283ZhVjiz8tf4w_WhjhQfzi0g8RwhVLS54anQMS1r_s,suMzXj9OBNQ-401wdglMs-Q8aGP6K4ZcSmy9Pwe7ZN_v4YI,가루눈 OwO,4418.0,ZRK9RLS7YXvFv0Nfa24dDeR774ITuOK-_YWcsTmfkrnmMpr2VjAAeloMlgkbR8xH64m2Y_6fRgybmg,1584762415000.0,,,134.0,1119,I,164,114
20,nqF2oRCAeXA27uhGbvYS7gyb2M23OrSS_ehTnzUY6wr_gD4,XpmxFiwrLbkVlCgRVoTyz6ZjxwpSg-OGjhbr367B4zIWwdM,Gen G Kellin,3849.0,_GtBoE7TOeyzhQUgRkUz97L0aObMkKI3cRmLu7w-OmyTwcG3PJ9Jmu8qkNFKx1NCnXExkRNPDpMYYg,1585124644000.0,,,372.0,1118,I,136,91
21,ImPwfj9Gb0tPHcMMnjVc6w44AedoxngtlVZJiqLqOKBRVP8neMBoEYHa,n_2q6lxDY6zivMxIy1lJSyq7S7kV11RBpl29ccDzj20LMSI,15pan,3890.0,lz5H69uPzRnENvOKLucHbsJ863lHt3PoHX-jDLr5S2WAsu7O1FU2BY1q1RlF1gjbs5AOP7PUHhuZiw,1585185017000.0,,,65.0,1100,I,288,227
22,thvrHv30gLNgZyx-cfz_suoXntR3VV_gSAXy6XLVRDf_MR0,uechBMQT7rpe-TyzGZRQ9KPNJSxI9yrebhJX5_wd7AbtOyw,Gen G Rascal,4297.0,McZdZvuQ81A7z9_y_r_V88ImkxnqHNncAKsHj3Y6MO6dtILBABNJgFVK_cYBbEBxlsb6d6N8F4NzXw,1584791117000.0,,,392.0,1097,I,150,110
23,dZkY4prwLnjBI7cYzGoK1DSZyR65kL3sPCX24bBXxWvz4mFutum3vq8G,HX7TUxhCNoKcI_IqFW0fG1n8Hlm_6jKFpfwleaAl7RHnZPE,ggggff,29.0,bvuHh-o5sAo0vrNPFJq1-MbWE7kC__xJTGW6EUHbMwv3ItAMLJTMHV9ZNt-euNSs3po5ZEeylutV6w,1585202480000.0,,,54.0,1096,I,205,153
24,XfLG-efeO_3MYeQaScEdscNElqBS9qH3CEf1Rv2b-phPHvSD2Fltg4l-,rjMW1rV9eEk8SBTt176AZSg7QXSTWLEU7jY_VmV-eAm9mEs,huhushengwei,4514.0,s38jnO1AyVAyfG0vFksMfzBfxmiVpi918WwXl4eD7g01n64QMfDT82skszWUNeO3r1I7Kz9MLcivmQ,1585214419000.0,,,63.0,1094,I,243,190
25,7BaX_M6Y1fmstFdlXl-IsrpjOmvXY6w8JBfHCSFd7YRf5ZrUNrXtXy8l,lfqAFwVtc5tRK5ZbLy67oWaiWdWmfm1c6iExK7yAQuZodw8,zaizhongbanjiang,4498.0,_yDXt0MUrM3ymLOP9VMhjopFD7j1_ZpT0Hwvi8LfJYL2PXBOIeQ04u907FrBS3w1NQxq1gol2lAtgQ,1585261618000.0,,,85.0,1090,I,180,115
26,sOu8iyI-s7p-nAZDW9AcxUjayVEXfROd7jmZt-1mm1rA7uYnRYwGNDs6,QabEWqsoc9DWHc0_Nivgj_fAWVKLlPBCwchLDNEEQPCIOVs,DWG Canyon,3602.0,nzcGspIA056DSTu-m4eS9nWaaG7TZqM5b4-Fn-JrYMrIa2-7zxvFT8x7011VrWn7zLnC1hWLKhOnPA,1584650979000.0,,,163.0,1090,I,223,173
27,UDS3iOuyRE3wcuFBcRFNTfMAzZItd-gs-bjjW7UBy7gFfsI,ahRoFFnT2anVgTMn1Xyi_3btgjfL8KiNRcjfe5PK43DtQUg,미친듯이 파이팅,18.0,KxvKsQTa1WLgE5yOsuhf7zC_sEYjxkXahdguar4CpFfJJwlaecyo--QQ9me0y-6ea_pxkrYYAfWL3Q,1585018284000.0,,,135.0,1082,I,107,54
28,xLbdppsnJ29E11uFCEb_VdmrZMHSK42HX6pfInvNW_3tSiqHdlmpymZk,V2G99TwVlcStMMiLUgsNyH54IZaOjMCpzBX5FFKgBJHDvRg,Maple fans,3164.0,y7u6Ns_idPdT6PCMzBwYokKRYiBIbx5E72Ave10vtiP_mpUVz2zQ-MQncinGgzmwlTB9KUD2pPYuMQ,1585131956000.0,,,51.0,1081,I,155,101
29,U3LZ7mAw6fpTIwh0OPlnUD85HtSm6SE0VUhp8mnuJh0_,MVSVpln9JXR08yuzELMzAO4NhMsj0ofNEc4DZC7TN954ow,JustLikeThatKR,3017.0,StM_d0yP5yx3W2hiltEBsxX5levdtyt_ULUDdCrOm7ixnQIP-LHkJdEDfCIvKjWK60Ag6wA22KD1Rw,1585284788000.0,,,219.0,1079,I,132,124
30,laVp9S-sMWhsLTd5Rl0rdUtRP8tNaEV0ph2bhwzIF2ZFmlVS-WGjlCCw,wAx8YND0e4p0prS2pBdSIiSt7S6E2DltenDV3JQHJd_SY90,죽이지 마라1,6.0,AVD-RRhcvPswEbqO-1TEW712-fuq34MnyK669dt4aRBmMFrbxipyhniPlXPDzQufB-FqcLdBiDAN1g,1581633180000.0,,,108.0,1077,I,328,282
31,TMslxDJdK_yPRE1IWbsDXG1ptC8cQMXpm7MK74H30UqcMsM,OVScQHf6XVl7EGb8-FuSGH-Qm54IzRzmLLlrJOukWNXxstY,이주한1,4391.0,4WhYwQx5moaj3OWRJxrowF8iWIzDEIj5cl6vIePv1QoIMl8f5R7wTBKcnR_fpWmhadtDpRgb8hn15Q,1585046409000.0,,,352.0,1059,I,179,139
32,LlEL3LTn1Vhj1Vrw2HBLkok1gRomoik0ecKfUmgSljZ6q3XlBCw3WPQn,muh-5nIPO4xVMv4Uu-MJUodZZ_e_z1-fZEu2RKHy9t92W-w,실수쟁이,9.0,mX1pGD-bwt-6svHsF4TXaCzAR-kC9QgCNazXEJPkfcnRW2lLK0amkWocsndQRrZwm-YTAAdP52nk8Q,1585003087000.0,,,72.0,1047,I,92,81
33,6gzeM4950E8DrTx_KltcSZ03NtJe-ao0aamLjPMAq9v3wIEiD2ja2wCu,vcfOxK8wROUh3Cw5IiuzB93ImWElVTCaHZr5xi27n1qfcS8,야생을죽이기위해,4086.0,XGdNSTyzb24Kj51TMmCZGyp9JBWcfr_hT4yL7lLVPY9swVF_IC9-xUKJiELcJQsyAIXlKAT7bL4fDA,1584961964000.0,,,66.0,1042,I,99,53
34,Pa7smy3sF0v20rdJUhhCso40GFaNIM_QIT9vwsGJru1x9k0,4c81wXrYyIRHclZRra8kHNCdOpbL9C4SJ4s6unkUnxzqk4s,T1 Ellim,3836.0,3eJv8f-NIYGnjD7Z1Txsh93guD09BNQ7tWI71fGBePjgM1nD5nWAnGcqbk5n7oRv41bLGQ_WAsTtzw,1585035594000.0,,,179.0,1021,I,97,54
35,E6XWIQV0_mzXHQF29b_oMhmKHbcXcqmwq22KbeB6Qwi_VUxAnesC_fZr,saU_gg2u-e7CZPnXntchXERItZxWVjVjRS7NvtTb5NzWxsQ,실망자,3367.0,3iWaob04D_GnjvvQRZT2d-c4fg84sD2o1lfaLuKqhDJQiJ4MCjnAL4jHwcVrRHnkUa3rzzuOQyI_JQ,1581464117000.0,,,148.0,1017,I,162,124
36,QrwhHNLZCGrRADqDGigOaOKnQRa81BEfwhn2D1mLl7FA9xA,bxbP8mE_1qozzFlDAxlrmk9tjmMb4pMqF44F7YXGP6bY51Y,아이유칼,16.0,qJ4C9wsCa25qsmIFRiMlRq0E6inzZ4FLu1uXstZs-H_iEuMthVU6wZ74vuVM0eJfqv6y60cb1FLdQw,1585131644000.0,,,202.0,1010,I,134,95
37,C0dtu3kldUbAXxDd6cwe43YpdQ9jNMFCGV_XUVmkM9gWR4rqBW7FKlxd,Lj4PpBkMVCyv7PfOPEGrj66FLmL3H4wxJeBCiSPdeBGHoBY,싫은일 퓨즈,29.0,O5zpke0XheEcUcYtDOHPrSXvfbqTT259j2FBlB4awcjlNrF3gSiN_HWtdKmxPVL_sij2CVc47YDA-Q,1585017964000.0,,,50.0,1005,I,145,100
38,HvT-9rUVEVio-sEriwkgZyhIT764e7WlClbXC2TQZaTJrv8haf5PN0sj,_coxtmynCJng-vmt-nSDeWDj2FF1lzSfBIzZh-YjQ2IC-xU,Sei2e the day,3837.0,4Z_fB8Xz4Vwi3yOe40BjgXip4Py072zw5HCaQRgQJLr2fhpb_UNbaVhPl-8hP7JtkdVTRSVV3VmUoA,1585184346000.0,,,62.0,997,I,269,229
39,OBzE7jo2WVNK_tuWqrLXvFDOTjMgQENrwEecNsnmuwg3DM4,7x-b6Z0Kp0sLlvyqvzHhCytX_rX127T32YMxjgafkeqHEHo,김개콕,1596.0,IHVGdh8p4YeIaBzH1jK8phUrTVYpWgev3FbW2MQD-Vw1m_4LX2IOho4Gj0G2fjk3KC7yY47q2yzHkw,1585227947000.0,,,130.0,986,I,279,186
40,mItz6feda9wybENaJMJxI9d3R7c97zMArxwmVcPbXRtlvZg,sjnpCYevmoI7-xuYKd5C7M4tzhOQZhr3omlZZACc3c0L4m0,SANDBOX OnFleek,3951.0,8EtTAuPvB5J72awFtg0bGUN8D9zBQZahB-YFfKTIrHQxgnrwkpASJqSJUDhzPBVkjV-MjcP1aicGNg,1584182297000.0,,,228.0,985,I,149,118
41,hBDjbjeTpO3p-5FWg8UoeEbhEu7uEOpxNy7HZpDTpubkbRzZh6-QIbsj,xpSPBhzRzKa8D2eI0L31I5CI4Ur4XsKuCuYByPyE5hlct8k,qpalzmwoaj,2074.0,4XqWlY55kamkoGGVf5u05j3MJySvAfjaVmD7FSAMVhwf9w4ESM47Q4ruMe2H5sUiwltECmQ9Ms_hOQ,1585052256000.0,,,76.0,975,I,103,64
42,qX2CZIJfkBKEZuZe_S5b8NNWSrNn5eOSBLudrUTswnY_NTmoItePtnVX,6XPFUEGxr6M02CFnPKaUIyTSgYBDaWBc3ZBp315pRv6F3pQ,LNCL,1455.0,H3Hs_PxWtx6FIHRctOQ4EIuKUc74EQ6o6KbyiztXIPKBA_lQUo4f6FYUR4vQmLmYicUPh69C85AVag,1584704859000.0,,,361.0,971,I,257,216
43,nc-f7WhRepx47jP1BIGPk4cNwLcuDw6YH7zLbf7cQt0APGaGw-01znl7,tVss7uUX2VQNKFlJj7pXjV7NOzLfgHkWxTwL-G30EVV9q5s,송아지얼룩송아지,29.0,an020oUfXCPg-WDMebT3psQrhI46WVEekqte0c7N-6mZ0rXgkKZU2HPef-BrjrMVDrVVkH065AIW1w,1585187575000.0,,,48.0,970,I,152,101
44,MbD-9WQ4etQWL7jsJJW2vb46ELKbozvLXjHzTzwY57FENSZpqUelfrec,_jFIgI02O4lr8e9i5OSBedE84BDBsOa7yEAhJww8m2xoIGo,려창동입니다,7.0,fGUuE6_Osr6vKZsUyclOTRr3Hn94Kce2wV_FxWI9lhu5JcvI_eTVN-7QZ-hKkeV38s_MiAICf3GmCg,1584837058000.0,,,51.0,966,I,146,92
45,xSk5jPXNFKI3MJuNDFyX2-2dDrBVUAFkZ3DV_U6I5CuEi7c,sZcUrDXT5ZE-p14yHXEsop-V3BwWdSmOTGPmMmlcsn_20TQ,타 잔,936.0,1reKGzKSh0u945woUEAj9f988F3cslP4uBP2c5VCXcozxxxqWibZTLaMXIfeSzOtxQMakiKvPVcQOA,1584876167000.0,,,204.0,963,I,161,124
46,CBshAH3eSlOnMc1ntoJlf3E14TVfuABdbiQTIfpLgSMjs-R_nrCs_Su1,dmh7O3sbF2CJt6lY4lNppWURxiNMXXNuL26NMp1pfvBDhYw,10k EGO,4447.0,jmM_U1diWKxPFzXF-u2C6g_ICugMexshuq-AqCgpR6E9XvnkgloqUoX_VGRKw4Jih_W1V7d9JlIFyQ,1585272905000.0,,,62.0,960,I,241,188
47,xGk6hmYH1xpSIg8dPG7yIx82He4dL_GLkHFN1kVl6MCmjWA,9OXFlX_ickISgaXZpFabTA_d6K9wyrwZ3C4uCDuazac-et4,SANDBOX Natalie,3788.0,BpkOkNIXHm49khPS8eTpDO7664Bhl9hQgQWJG0n4jySKZ0fLvHRCNK4BNr51Q4FPxRyDFIGl870xjQ,1585115436000.0,,,453.0,960,I,162,138
48,ltc9ZYISOeNF63ku3m2p7ldx9H4RRkE7HKGqBE_TlS1N-Es,3xGxpSMbCxqoVaPV7c96pf4D7RWS4XbTRkCgfUuet_ZzhRs,T1 BurdoI,4514.0,wUy5mG1GiOd8amVC64tD6NWr1DZNNr5LXT7zFQKpAPUS-qykMQPSFD4uXGc75ZkC1FS-ZBUKsF1X0g,1585090426000.0,,,228.0,950,I,103,104
49,g6W_eCyG4gVKxO4jSJFbxEa3HHVyB5q9e_jwlin4tNFd,Wyj_7Uxv-iSGjDssbnWvUkzWIRdSGX-is4POb1zy7Qc8gw,SANDBOX GorillA,535.0,mGATYmXeqX8mgDOWRJ8UqsTUVh_XQdazKnd_7L5FHGrCZLybGO3hkq4Q4QkLhsTB7mEPUDjsKlFGsg,1584391498000.0,,,248.0,949,I,155,118
50,nGoKoBwhRvZr81H-4TVcGJ6caqwQgJ5P33qYbUbE_1h9YHU,sJF2uCrwgDpFH0yWKm51Uj9iJZpjTQVfhgOR0MwEaccF0rY,U R my light dad,3608.0,MHbUh4js8zRUVc--mFMYT90CWSIn2RA01VwlTfpA17cX9VoUV4CVEmu0tFi3fAKRQbQdycUwA2lirg,1584922536000.0,,,432.0,942,I,235,192
51,W5QWj6ej2VQgu1UunwFuGcNgBBz_io7T01Gg-ClYiVLS,umFfeIr7pGqTVyD_z14fjaSIsw_7Y1VUm9NypE3ePUUkm5E,213321123,4491.0,ofRKMx_2w5-7gfN3kYQOS1kgL9_57noPslsDiZitr2HrekfYh7ugydIcJ4zdFkkAhK7peeDc3XcFxA,1585289354000.0,,,80.0,939,I,216,165
52,G-lzn1ETqc7c72aH7Ay7nihY_DwkYBu8lnPuyFGKMUfLd4aD4XX-8u3b,qd2sgPmmqlMUjsGiAJiVllKCrKxgCjGScMYFAVr_k9LWTrQ,No soul,4480.0,WJASeIU247PandDnS1MBRfhidyEaZETxpZDQPLTLFCR3fX5SRAlHuv4K-fv6IYn1jrFNqbMkyTuK_w,1585215013000.0,,,58.0,935,I,231,174
53,gUiXEZAmrorkeGzNEnp54-H0kSYbFrx8HOaWaN1jhmLZxKFbABaxF-Qc,2UJIYK258VNlUrrLViv0Y9T6zjXmC9OWkH5nTLz5pZUaGZs,feng ji xu chui,4491.0,dtB_m5KZ363vwvr-lRLqaG7-atS492pXgp-xvjbZ4Dz_3-yfNyNwcjSofD1YEEZq0Errhfub2zjlEA,1585049918000.0,,,125.0,930,I,178,135
54,bVwP9CQfYvmYu0L_U7p5NCo14wsHOoRfbrnpvGBBPyp32M0,6jJ9FEFNazBPTdmsRhofkU0lFj_CQl1G7y-uKkIbgl45FSA,supupsupupsupup,4418.0,_xnhUA2vUN-Dk8bp4sbwpBiiGx6k4EHuwetqtvslc2TVAyvg2xz1VlwvV59xbiJDcVTCTWjw48o2-A,1584941618000.0,,,224.0,915,I,242,199
55,oEEfKZhHycdHFB86x1iTmXPfa7nACGS5PzHeddpbHA5_,vmxz3hK9o_k2uGte_AczeXW8stno5l_HvrO1t61DM-Y5_g,나는대포너는머포,18.0,QBaJt9lY006vWfVU2FsrP2_DCOCGYxz2YBCPGxaVmPYrjVnthzWOf96kZJo2PKx3J0O6DpLX-7ZoGg,1585088178000.0,,,203.0,914,I,335,289
56,kc7eS34jTXJ968Gm7vou_oo5v79EiRQI5FLGmQozCmH_X90,rRCbmpDuTOK6ATYWK0vqBZ9GJbmAC_fUDughsfQaun-BRK8,SANDBOX TolanD,4284.0,wvaycvYQhBISTek9m4jG9XyzkPKd9gb3V748vzcso0cbQO52r-vZfgRAkptIcYJLbCMFiwQVGobpTg,1584779582000.0,,,448.0,913,I,311,308
57,r0VW6YTk5MM9CT9jFTn65WE882mhgO0yJ0j6xmtL684gdfpp98W4dDVj,VY33ftklZ7wZhm_IhfTIL30BxEB7lGlbgsbGPYzmdchQvMo,Beam1,29.0,MSTbdVNxCS-7B0edbq21xOPY5nREiYEOTV7_zQMAtHGPNWd0ZApJl2AS8rI_ZzdnAOQrPSoFuZSjLw,1585144282000.0,,,45.0,907,I,135,82
58,bafkPQ9BpgBgEwkEvg5tV5ZEhRWJdh8MeFwmabw0Drcb59I,ebu0Jaajat43A5QofICHoa9UtEQ8PG2PSZIdUYGW67wR3Uw,읽씹맨,3854.0,qYtM5uaUCUw8GOZlhkeTjOuepe7MDov4wuHP81Aum8VWaUASS-Y2it4HPXqZCTV0LCKJs6jakELKtw,1584791994000.0,,,309.0,906,I,144,98
